path,label,phash,split
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_0485.jpg,brain_glioma,95686a85e59e9678,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_1173.jpg,brain_tumor,d0c62f4b3d3d3330,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_4367.jpg,brain_menin,952e6ac5e596c11b,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_2333.jpg,brain_glioma,856a7ea92a96c798,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_3197.jpg,brain_menin,d02f2be434c62f9a,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_4231.jpg,brain_glioma,85877e1461786f69,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_3060.jpg,brain_menin,c6c62f5f303c9634,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_3766.jpg,brain_glioma,85697ea272a5a595,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_4957.jpg,brain_glioma,d5902a7be16dd684,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_2693.jpg,brain_glioma,c06b2fb53dd230c9,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_2842.jpg,brain_tumor,807f3f6a2df03e80,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_2613.jpg,brain_glioma,846b2bb43cb479c3,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_0783.jpg,brain_tumor,84883f87789f749c,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_0637.jpg,brain_menin,d4082a852ff73d3a,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_1340.jpg,brain_tumor,d5d12afa2dc1f409,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_4810.jpg,brain_menin,c22f3fe07097834e,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_3091.jpg,brain_menin,c16b6a2d39b33986,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_0447.jpg,brain_menin,956a6a87e79c8c32,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_1819.jpg,brain_menin,da252d963fda04c9,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_0076.jpg,brain_glioma,c46b3f90b0cbc56c,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_4960.jpg,brain_tumor,c16b5a2a6a35373c,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_3574.jpg,brain_menin,c49c7f4b3c6ce034,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_3796.jpg,brain_tumor,d11d04bf5e78343a,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_1823.jpg,brain_glioma,d0692fb434d2a2cf,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_1035.jpg,brain_menin,d1d02a8f3ddb311c,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_3689.jpg,brain_glioma,d29a2d69f034c733,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_0266.jpg,brain_glioma,803f7be02987bc4b,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_3503.jpg,brain_glioma,c2322ddc3ec3d0ce,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_0649.jpg,brain_menin,8795789e6878a569,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_0127.jpg,brain_menin,85817e1e6938b765,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_3123.jpg,brain_menin,c8e03d1f323fc3c8,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_2139.jpg,brain_glioma,84937f563868c72b,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_4714.jpg,brain_tumor,c03f573e2af83ac0,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_2096.jpg,brain_menin,813d7fe074c7225a,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_0228.jpg,brain_glioma,85c67e7c6099a996,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_4518.jpg,brain_menin,817a7ee01b875c95,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_2641.jpg,brain_glioma,81817f4d7a5e293a,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_4389.jpg,brain_menin,80b21f957c5a7276,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_2022.jpg,brain_tumor,958b00c03f9f7e17,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_1397.jpg,brain_glioma,c0963f4b346de332,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_2795.jpg,brain_menin,d03b7aa56ac535c2,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_1712.jpg,brain_glioma,d02d2f9434cbf8c5,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_3316.jpg,brain_tumor,d5d502c02f863d9f,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_0832.jpg,brain_glioma,813f7ee02887959e,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_0590.jpg,brain_tumor,d52a5b2e3cb907c4,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_4553.jpg,brain_menin,85727aa1619787da,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_3975.jpg,brain_menin,933c6e6261cba497,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_0768.jpg,brain_menin,d09c2a432f623d7d,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_tumor/brain_tumor_0772.jpg,brain_tumor,81751fbc5ea96862,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_menin/brain_menin_4824.jpg,brain_menin,85957aaa646acb65,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_1972.jpg,brain_glioma,d03e2b272df0f4c2,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Brain Cancer/brain_glioma/brain_glioma_4600.jpg,brain_glioma,d0d02bca1f0f8f3c,train
