path,label,split
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_mep/cervix_mep_0597.jpg,cervix_mep,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_mep/cervix_mep_0886.jpg,cervix_mep,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_pab/cervix_pab_0736.jpg,cervix_pab,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_4835.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_koc/cervix_koc_4268.jpg,cervix_koc,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_0369.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_dyk/cervix_dyk_4319.jpg,cervix_dyk,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_2850.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_koc/cervix_koc_1214.jpg,cervix_koc,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_dyk/cervix_dyk_3962.jpg,cervix_dyk,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_2926.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_2650.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_3990.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_3361.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_koc/cervix_koc_1312.jpg,cervix_koc,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_pab/cervix_pab_1035.jpg,cervix_pab,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_0815.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_4681.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_mep/cervix_mep_1469.jpg,cervix_mep,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_koc/cervix_koc_3187.jpg,cervix_koc,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_1896.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_pab/cervix_pab_4041.jpg,cervix_pab,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_koc/cervix_koc_1624.jpg,cervix_koc,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_koc/cervix_koc_0785.jpg,cervix_koc,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_4307.jpg,cervix_sfi,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_mep/cervix_mep_4100.jpg,cervix_mep,train
/home/jovyan/.cache/kagglehub/datasets/obulisainaren/multi-cancer/versions/3/Multi Cancer/Multi Cancer/Cervical Cancer/cervix_sfi/cervix_sfi_3599.jpg,cervix_sfi,train
